Phylum	Number_genomes	Number_genera	Number_family	Number_classes	Number_SCG	COG0001	COG0002	COG0005	COG0006	COG0007	COG0008	COG0009	COG0011	COG0012	COG0013	COG0014	COG0015	COG0016	COG0017	COG0018	COG0020	COG0021	COG0023	COG0024	COG0026	COG0028	COG0029	COG0030	COG0031	COG0034	COG0035	COG0036	COG0037	COG0038	COG0039	COG0040	COG0041	COG0042	COG0043	COG0044	COG0045	COG0046	COG0047	COG0048	COG0049	COG0050	COG0051	COG0052	COG0053	COG0054	COG0055	COG0056	COG0057	COG0058	COG0059	COG0060	COG0061	COG0063	COG0064	COG0065	COG0066	COG0068	COG0069	COG0071	COG0072	COG0073	COG0074	COG0075	COG0077	COG0078	COG0080	COG0081	COG0082	COG0083	COG0084	COG0085	COG0086	COG0087	COG0088	COG0089	COG0090	COG0091	COG0092	COG0093	COG0094	COG0095	COG0096	COG0097	COG0098	COG0099	COG0100	COG0101	COG0102	COG0103	COG0104	COG0105	COG0106	COG0107	COG0108	COG0109	COG0111	COG0112	COG0113	COG0114	COG0115	COG0117	COG0118	COG0120	COG0122	COG0124	COG0125	COG0126	COG0127	COG0128	COG0129	COG0130	COG0131	COG0132	COG0133	COG0134	COG0135	COG0136	COG0137	COG0138	COG0139	COG0140	COG0141	COG0142	COG0143	COG0144	COG0148	COG0149	COG0150	COG0151	COG0152	COG0153	COG0154	COG0156	COG0157	COG0158	COG0159	COG0161	COG0162	COG0163	COG0164	COG0165	COG0166	COG0167	COG0168	COG0169	COG0170	COG0171	COG0172	COG0173	COG0174	COG0176	COG0177	COG0178	COG0179	COG0180	COG0181	COG0182	COG0184	COG0185	COG0186	COG0187	COG0188	COG0190	COG0191	COG0192	COG0193	COG0194	COG0195	COG0196	COG0197	COG0198	COG0199	COG0200	COG0201	COG0202	COG0203	COG0205	COG0206	COG0207	COG0208	COG0209	COG0210	COG0211	COG0212	COG0213	COG0214	COG0215	COG0216	COG0217	COG0218	COG0219	COG0220	COG0221	COG0222	COG0223	COG0224	COG0225	COG0226	COG0227	COG0228	COG0229	COG0231	COG0233	COG0234	COG0235	COG0236	COG0237	COG0238	COG0239	COG0240	COG0241	COG0242	COG0244	COG0245	COG0248	COG0249	COG0250	COG0251	COG0252	COG0253	COG0254	COG0255	COG0256	COG0257	COG0258	COG0260	COG0261	COG0263	COG0264	COG0265	COG0266	COG0267	COG0268	COG0269	COG0271	COG0272	COG0274	COG0275	COG0276	COG0278	COG0279	COG0280	COG0282	COG0283	COG0284	COG0285	COG0287	COG0288	COG0289	COG0290	COG0291	COG0292	COG0293	COG0294	COG0295	COG0297	COG0298	COG0299	COG0302	COG0303	COG0304	COG0305	COG0307	COG0309	COG0310	COG0311	COG0313	COG0314	COG0315	COG0316	COG0317	COG0319	COG0320	COG0321	COG0322	COG0323	COG0324	COG0325	COG0326	COG0327	COG0328	COG0329	COG0330	COG0331	COG0332	COG0333	COG0335	COG0336	COG0337	COG0340	COG0341	COG0342	COG0343	COG0344	COG0345	COG0348	COG0349	COG0350	COG0351	COG0352	COG0353	COG0354	COG0355	COG0356	COG0357	COG0358	COG0359	COG0360	COG0361	COG0362	COG0363	COG0364	COG0365	COG0368	COG0369	COG0370	COG0372	COG0373	COG0375	COG0377	COG0378	COG0379	COG0380	COG0382	COG0384	COG0386	COG0389	COG0390	COG0391	COG0392	COG0396	COG0402	COG0403	COG0404	COG0405	COG0407	COG0409	COG0410	COG0411	COG0413	COG0414	COG0415	COG0416	COG0418	COG0420	COG0421	COG0422	COG0423	COG0424	COG0425	COG0426	COG0428	COG0429	COG0430	COG0440	COG0441	COG0442	COG0443	COG0445	COG0447	COG0448	COG0449	COG0450	COG0452	COG0458	COG0459	COG0460	COG0461	COG0462	COG0464	COG0465	COG0466	COG0468	COG0469	COG0470	COG0472	COG0473	COG0476	COG0478	COG0479	COG0480	COG0481	COG0482	COG0483	COG0486	COG0488	COG0489	COG0492	COG0493	COG0495	COG0496	COG0497	COG0498	COG0499	COG0502	COG0503	COG0504	COG0505	COG0506	COG0509	COG0511	COG0512	COG0513	COG0516	COG0519	COG0520	COG0521	COG0522	COG0524	COG0525	COG0527	COG0528	COG0532	COG0533	COG0536	COG0537	COG0539	COG0540	COG0541	COG0543	COG0544	COG0545	COG0547	COG0548	COG0549	COG0550	COG0552	COG0554	COG0556	COG0557	COG0558	COG0559	COG0560	COG0561	COG0563	COG0564	COG0565	COG0566	COG0567	COG0568	COG0571	COG0572	COG0573	COG0574	COG0575	COG0576	COG0581	COG0584	COG0585	COG0586	COG0587	COG0588	COG0590	COG0592	COG0593	COG0594	COG0595	COG0597	COG0601	COG0602	COG0603	COG0605	COG0606	COG0608	COG0611	COG0613	COG0614	COG0615	COG0616	COG0617	COG0618	COG0620	COG0621	COG0623	COG0629	COG0632	COG0634	COG0635	COG0636	COG0647	COG0648	COG0649	COG0653	COG0658	COG0661	COG0663	COG0665	COG0668	COG0669	COG0670	COG0677	COG0681	COG0682	COG0685	COG0686	COG0688	COG0689	COG0690	COG0691	COG0692	COG0693	COG0694	COG0695	COG0696	COG0698	COG0703	COG0704	COG0705	COG0706	COG0707	COG0708	COG0709	COG0710	COG0711	COG0712	COG0713	COG0717	COG0718	COG0719	COG0720	COG0721	COG0722	COG0727	COG0728	COG0731	COG0736	COG0740	COG0742	COG0743	COG0744	COG0746	COG0747	COG0749	COG0750	COG0751	COG0752	COG0755	COG0756	COG0757	COG0758	COG0759	COG0761	COG0762	COG0763	COG0764	COG0766	COG0767	COG0769	COG0770	COG0771	COG0773	COG0774	COG0775	COG0776	COG0777	COG0779	COG0780	COG0781	COG0782	COG0783	COG0785	COG0787	COG0789	COG0792	COG0793	COG0794	COG0795	COG0796	COG0797	COG0799	COG0801	COG0802	COG0803	COG0805	COG0806	COG0807	COG0809	COG0810	COG0811	COG0812	COG0813	COG0815	COG0816	COG0817	COG0818	COG0820	COG0821	COG0822	COG0823	COG0824	COG0825	COG0826	COG0828	COG0836	COG0837	COG0838	COG0839	COG0848	COG0849	COG0850	COG0851	COG0852	COG0853	COG0854	COG0855	COG0857	COG0858	COG0860	COG0863	COG1003	COG1004	COG1005	COG1007	COG1008	COG1010	COG1012	COG1015	COG1022	COG1026	COG1030	COG1034	COG1039	COG1040	COG1043	COG1044	COG1045	COG1047	COG1048	COG1049	COG1052	COG1053	COG1054	COG1055	COG1056	COG1057	COG1058	COG1059	COG1060	COG1066	COG1067	COG1069	COG1071	COG1074	COG1077	COG1078	COG1079	COG1080	COG1084	COG1085	COG1087	COG1088	COG1090	COG1092	COG1093	COG1095	COG1096	COG1097	COG1098	COG1099	COG1102	COG1104	COG1108	COG1117	COG1121	COG1125	COG1127	COG1129	COG1132	COG1137	COG1138	COG1139	COG1144	COG1146	COG1151	COG1154	COG1155	COG1156	COG1158	COG1159	COG1160	COG1161	COG1162	COG1163	COG1164	COG1165	COG1166	COG1169	COG1171	COG1173	COG1181	COG1183	COG1185	COG1186	COG1187	COG1188	COG1189	COG1190	COG1192	COG1193	COG1194	COG1195	COG1197	COG1198	COG1199	COG1200	COG1204	COG1206	COG1207	COG1210	COG1211	COG1212	COG1214	COG1217	COG1219	COG1220	COG1224	COG1227	COG1229	COG1230	COG1232	COG1235	COG1236	COG1239	COG1241	COG1242	COG1243	COG1245	COG1246	COG1252	COG1253	COG1254	COG1256	COG1257	COG1258	COG1259	COG1260	COG1267	COG1268	COG1270	COG1271	COG1274	COG1277	COG1281	COG1283	COG1284	COG1286	COG1287	COG1290	COG1293	COG1295	COG1298	COG1302	COG1303	COG1304	COG1308	COG1310	COG1311	COG1314	COG1316	COG1321	COG1322	COG1323	COG1327	COG1328	COG1329	COG1330	COG1331	COG1333	COG1335	COG1338	COG1339	COG1345	COG1347	COG1349	COG1350	COG1351	COG1354	COG1355	COG1358	COG1362	COG1364	COG1370	COG1371	COG1376	COG1377	COG1381	COG1382	COG1383	COG1385	COG1386	COG1387	COG1389	COG1390	COG1391	COG1394	COG1395	COG1397	COG1399	COG1400	COG1403	COG1407	COG1408	COG1410	COG1411	COG1412	COG1415	COG1418	COG1419	COG1420	COG1424	COG1426	COG1427	COG1433	COG1434	COG1435	COG1436	COG1437	COG1438	COG1439	COG1446	COG1448	COG1449	COG1450	COG1451	COG1452	COG1459	COG1460	COG1461	COG1465	COG1466	COG1467	COG1469	COG1471	COG1473	COG1475	COG1477	COG1480	COG1481	COG1482	COG1485	COG1488	COG1489	COG1490	COG1491	COG1492	COG1493	COG1494	COG1495	COG1496	COG1498	COG1500	COG1502	COG1503	COG1507	COG1508	COG1514	COG1515	COG1516	COG1519	COG1521	COG1522	COG1523	COG1525	COG1527	COG1528	COG1530	COG1533	COG1534	COG1537	COG1539	COG1540	COG1543	COG1544	COG1546	COG1547	COG1548	COG1550	COG1552	COG1555	COG1556	COG1559	COG1560	COG1561	COG1562	COG1564	COG1565	COG1568	COG1570	COG1573	COG1574	COG1575	COG1576	COG1577	COG1579	COG1582	COG1584	COG1585	COG1586	COG1587	COG1588	COG1589	COG1592	COG1600	COG1601	COG1605	COG1606	COG1607	COG1608	COG1610	COG1611	COG1612	COG1615	COG1617	COG1618	COG1619	COG1623	COG1624	COG1625	COG1628	COG1631	COG1632	COG1634	COG1636	COG1640	COG1641	COG1644	COG1645	COG1646	COG1647	COG1648	COG1650	COG1656	COG1658	COG1660	COG1663	COG1664	COG1666	COG1668	COG1674	COG1675	COG1676	COG1678	COG1680	COG1690	COG1691	COG1692	COG1697	COG1702	COG1703	COG1704	COG1706	COG1713	COG1717	COG1718	COG1722	COG1725	COG1726	COG1727	COG1730	COG1734	COG1739	COG1744	COG1746	COG1747	COG1752	COG1758	COG1760	COG1761	COG1763	COG1766	COG1767	COG1768	COG1770	COG1773	COG1774	COG1778	COG1781	COG1792	COG1793	COG1796	COG1797	COG1798	COG1799	COG1801	COG1803	COG1805	COG1806	COG1811	COG1812	COG1813	COG1814	COG1820	COG1821	COG1825	COG1828	COG1829	COG1830	COG1832	COG1833	COG1836	COG1837	COG1838	COG1839	COG1841	COG1846	COG1847	COG1849	COG1850	COG1855	COG1856	COG1860	COG1862	COG1866	COG1872	COG1875	COG1877	COG1884	COG1886	COG1889	COG1890	COG1891	COG1899	COG1902	COG1903	COG1904	COG1907	COG1909	COG1911	COG1912	COG1921	COG1922	COG1923	COG1924	COG1925	COG1931	COG1933	COG1934	COG1936	COG1937	COG1939	COG1940	COG1942	COG1947	COG1949	COG1950	COG1951	COG1952	COG1956	COG1963	COG1964	COG1966	COG1968	COG1969	COG1970	COG1971	COG1972	COG1974	COG1976	COG1980	COG1982	COG1983	COG1984	COG1987	COG1989	COG1990	COG1993	COG1994	COG1995	COG1997	COG2001	COG2003	COG2004	COG2006	COG2007	COG2008	COG2009	COG2012	COG2020	COG2021	COG2022	COG2023	COG2025	COG2027	COG2033	COG2035	COG2037	COG2038	COG2045	COG2046	COG2047	COG2049	COG2051	COG2052	COG2053	COG2054	COG2058	COG2062	COG2063	COG2065	COG2068	COG2070	COG2071	COG2075	COG2077	COG2078	COG2081	COG2086	COG2087	COG2088	COG2092	COG2093	COG2096	COG2097	COG2099	COG2101	COG2104	COG2106	COG2107	COG2109	COG2110	COG2112	COG2115	COG2116	COG2118	COG2121	COG2123	COG2125	COG2126	COG2131	COG2137	COG2138	COG2139	COG2143	COG2147	COG2148	COG2151	COG2152	COG2154	COG2156	COG2157	COG2163	COG2166	COG2171	COG2172	COG2176	COG2177	COG2178	COG2179	COG2183	COG2185	COG2187	COG2204	COG2209	COG2216	COG2218	COG2219	COG2220	COG2231	COG2232	COG2233	COG2235	COG2236	COG2238	COG2239	COG2243	COG2244	COG2252	COG2255	COG2256	COG2260	COG2262	COG2264	COG2265	COG2267	COG2269	COG2270	COG2302	COG2307	COG2308	COG2313	COG2316	COG2322	COG2327	COG2331	COG2332	COG2344	COG2348	COG2352	COG2359	COG2362	COG2363	COG2377	COG2378	COG2379	COG2382	COG2385	COG2386	COG2404	COG2410	COG2431	COG2450	COG2457	COG2501	COG2509	COG2511	COG2516	COG2518	COG2519	COG2603	COG2607	COG2608	COG2609	COG2716	COG2721	COG2738	COG2739	COG2740	COG2759	COG2802	COG2804	COG2812	COG2813	COG2815	COG2821	COG2825	COG2834	COG2835	COG2838	COG2844	COG2857	COG2860	COG2861	COG2867	COG2868	COG2869	COG2870	COG2875	COG2877	COG2878	COG2884	COG2885	COG2888	COG2890	COG2893	COG2894	COG2895	COG2896	COG2902	COG2911	COG2917	COG2919	COG2921	COG2924	COG2927	COG2928	COG2930	COG2940	COG2945	COG2947	COG2951	COG2952	COG2957	COG2969	COG2976	COG2980	COG2987	COG2998	COG3001	COG3017	COG3022	COG3024	COG3026	COG3027	COG3046	COG3087	COG3088	COG3116	COG3132	COG3155	COG3161	COG3178	COG3185	COG3190	COG3200	COG3206	COG3252	COG3253	COG3276	COG3305	COG3317	COG3320	COG3326	COG3330	COG3339	COG3349	COG3350	COG3360	COG3369	COG3375	COG3380	COG3382	COG3395	COG3400	COG3401	COG3411	COG3412	COG3425	COG3429	COG3444	COG3457	COG3481	COG3494	COG3536	COG3542	COG3584	COG3599	COG3634	COG3635	COG3643	COG3651	COG3660	COG3684	COG3694	COG3705	COG3716	COG3737	COG3808	COG3820	COG3829	COG3854	COG3859	COG3862	COG3864	COG3869	COG3872	COG3875	COG3876	COG3880	COG3884	COG3893	COG3935	COG3952	COG3956	COG3968	COG3970	COG4046	COG4080	COG4094	COG4100	COG4105	COG4108	COG4109	COG4112	COG4121	COG4122	COG4123	COG4137	COG4143	COG4177	COG4198	COG4206	COG4241	COG4260	COG4286	COG4327	COG4336	COG4365	COG4372	COG4399	COG4401	COG4448	COG4463	COG4464	COG4465	COG4466	COG4472	COG4481	COG4517	COG4535	COG4581	COG4586	COG4587	COG4632	COG4656	COG4657	COG4658	COG4659	COG4660	COG4662	COG4708	COG4747	COG4752	COG4755	COG4769	COG4775	COG4789	COG4791	COG4799	COG4830	COG4856	COG4864	COG4866	COG4867	COG4869	COG4879	COG4888	COG4901	COG4911	COG4914	COG4920	COG4942	COG4956	COG4972	COG4992	COG5007	COG5009	COG5011	COG5016	COG5207	COG5256	COG5257	COG5336	COG5341	COG5343	COG5401	COG5405	COG5496	COG5522	COG5531	COG5587	COG5607
Acidobacteria        	5	5	2	2	428	0	1	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	1	1	1	0	1	1	1	1	1	0	1	1	0	0	0	0	1	0	1	0	1	1	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0	0	1	1	0	0	1	0	1	1	1	0	1	1	0	1	1	1	0	1	1	1	0	0	0	1	1	1	0	1	1	1	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	1	1	0	1	0	0	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	1	1	1	1	0	0	1	0	1	0	0	1	1	0	0	1	0	0	1	0	1	1	1	0	1	1	0	1	1	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	1	1	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	1	1	1	0	1	0	0	1	0	0	1	1	1	0	0	0	1	0	1	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	1	1	0	1	0	1	0	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	0	0	0	1	0	1	0	1	1	0	0	1	1	1	0	0	1	0	1	0	0	1	0	0	1	1	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	1	0	1	1	0	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0
Actinobacteria       	140	65	37	1	136	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	1	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0	1	1	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	0	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
