	Acidobacteria        	Actinobacteria       	Aquificae            	Bacteroidetes        	Chlamydiae           	Chlorobi             	Chloroflexi          	Crenarchaeota        	Cyanobacteria        	Deferribacteres      	Deinococcus-Thermus  	Euryarchaeota        	Firmicutes           	Fusobacteria         	Planctomycetes       	Proteobacteria       	Spirochaetes         	Synergistetes        	Thermotogae          	Verrucomicrobia      	Alphaproteobacteria  	Betaproteobacteria   	Deltaproteobacteria  	Epsilonproteobacteria	Gammaproteobacteria  
COG0058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COG0059	1	0	1	0	0	1	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0
COG0060	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1
COG0061	1	0	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	1	1	0	0	1	0	1	1
COG0063	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
COG0064	1	1	1	0	1	1	0	0	0	1	1	0	0	1	1	0	0	1	1	1	1	1	0	1	0
COG0065	1	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
COG0066	1	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
COG0068	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0069	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
COG0071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
COG0072	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
COG0073	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0074	1	0	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0
COG0075	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0077	1	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
COG0078	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0
COG0080	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
COG0081	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
COG0082	1	1	1	1	1	1	1	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1
COG0083	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0
COG0084	1	0	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
COG0085	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	0	1	1	0	1
COG0086	1	1	1	0	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1
COG0087	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
COG0088	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
COG0089	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
COG0090	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
COG0091	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
COG0092	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
COG0093	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
COG0094	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
COG0095	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
COG0096	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
COG0097	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
COG0098	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1
COG0099	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
COG0100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
COG0101	1	1	1	0	0	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1
COG0102	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
COG0103	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
COG0104	0	0	1	0	0	1	1	0	1	1	1	1	1	1	1	0	0	1	0	1	0	0	0	1	0
COG0105	1	0	1	0	0	1	1	0	1	1	1	1	0	0	1	1	0	0	0	1	0	1	0	1	1
COG0106	1	0	1	0	0	1	1	0	1	1	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0
COG0107	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
COG0108	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
COG0109	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COG0111	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0112	1	0	1	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0
COG0113	1	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	1	1	1	0
COG0114	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COG0115	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0117	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0
COG0118	1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
COG0120	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0122	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0124	1	0	0	0	1	1	0	1	0	1	1	1	0	1	0	0	1	0	0	1	1	1	1	0	0
COG0125	0	0	1	0	1	1	1	0	1	1	1	0	0	1	1	0	1	1	1	1	0	1	0	1	0
COG0126	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	0	1	0	1	0	1	1
COG0127	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	0	1	1	1	0	1	0	0	0
COG0128	1	0	1	1	1	1	1	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	1
COG0129	0	0	1	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0130	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	0	1
COG0131	1	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
COG0132	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COG0133	1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COG0134	1	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
COG0135	1	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
COG0136	0	0	1	1	1	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1	0	0	0	1	0
COG0137	1	0	1	0	0	1	0	0	1	1	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0
COG0138	1	1	0	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1
COG0139	1	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
COG0140	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0141	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
COG0142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
COG0143	1	0	1	0	1	1	0	0	1	1	1	0	0	1	1	0	1	1	1	1	0	1	0	1	0
COG0144	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
COG0148	1	0	1	0	1	0	0	1	1	1	1	0	0	1	1	0	1	1	1	0	0	0	1	0	0
COG0149	0	0	1	1	0	1	1	1	1	1	1	0	0	1	1	0	0	1	0	1	0	0	0	1	0
COG0150	1	1	1	1	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	1	0	1	1	0	0
COG0151	1	1	1	0	0	1	0	0	1	1	1	1	0	0	1	0	0	1	0	1	0	1	1	0	0
COG0152	1	0	1	0	0	1	0	0	1	1	1	0	0	0	1	0	0	1	0	1	0	1	0	0	0
COG0153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
COG0154	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
