	Acidobacteria        	Actinobacteria       	Aquificae            	Bacteroidetes        	Chlamydiae           	Chlorobi             	Chloroflexi          	Crenarchaeota        	Cyanobacteria        	Deferribacteres      	Deinococcus-Thermus  	Euryarchaeota        	Firmicutes           	Fusobacteria         	Planctomycetes       	Proteobacteria       	Spirochaetes         	Synergistetes        	Thermotogae          	Verrucomicrobia      	Alphaproteobacteria  	Betaproteobacteria   	Deltaproteobacteria  	Epsilonproteobacteria	Gammaproteobacteria  
COG0267	1	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	1	0	0	1
COG0268	1	0	0	0	0	0	1	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0
COG0269	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
COG0272	1	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0
COG0274	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0275	1	1	1	0	0	1	1	0	1	1	1	0	0	1	0	1	0	1	1	1	1	1	0	1	0
COG0276	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
COG0278	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
COG0279	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
COG0280	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
COG0282	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
COG0283	1	0	1	0	1	0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	0	0	1	0	1
COG0284	1	0	1	0	0	1	0	1	1	1	1	1	1	0	1	0	0	1	0	1	0	1	0	1	1
COG0285	1	0	1	1	0	1	1	0	0	1	0	0	0	0	1	1	0	1	0	0	1	1	0	1	0
COG0287	1	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	0
COG0288	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0289	1	0	1	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0
COG0290	1	1	1	1	1	1	0	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0
COG0291	1	1	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	1	0	1	1	1	1	0	0
COG0292	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
COG0293	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1
COG0294	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0
COG0295	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0
COG0297	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
COG0298	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
COG0299	1	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0
COG0302	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
COG0303	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0304	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0
COG0305	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0307	1	0	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	1	1	1	0
COG0309	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
COG0310	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0311	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0313	1	1	1	0	0	1	0	0	1	0	1	0	1	1	0	0	0	1	1	1	0	0	1	1	1
COG0314	1	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
COG0315	1	0	1	0	0	1	0	1	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0
COG0316	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0317	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
COG0319	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1
COG0320	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	0	0	1
COG0321	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0
COG0322	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	1	0	1	0
COG0323	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0
COG0324	1	0	1	0	1	0	0	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	0	1	1
COG0325	1	1	1	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1	0	0	1	1	0
COG0326	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
COG0327	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0
COG0328	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
COG0329	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
COG0331	1	0	1	0	1	1	0	0	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0
COG0332	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0333	1	0	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	1	1	1	1	0	0	0
COG0335	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
COG0336	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1
COG0337	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
COG0340	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1
COG0341	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0
COG0342	0	0	1	1	0	0	1	0	1	1	1	0	0	0	1	0	1	1	1	0	0	0	0	1	0
COG0343	1	0	0	0	1	1	0	0	1	1	1	0	0	1	1	0	0	1	1	1	0	1	0	1	0
COG0344	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	1	0
COG0345	0	1	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0
COG0348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
COG0349	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COG0350	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0
COG0351	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
COG0352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
COG0353	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	1	1	0	1	0	0
COG0354	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1
COG0355	0	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0
COG0356	0	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0
COG0357	1	1	1	0	0	1	0	0	1	1	1	0	1	1	0	0	1	1	1	0	0	1	0	1	0
COG0358	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
COG0359	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
COG0360	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1
COG0361	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	0	0	1	1
COG0362	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COG0363	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
COG0364	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COG0368	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0369	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0370	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
COG0372	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
COG0373	0	0	1	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0
COG0375	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0377	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
COG0378	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0379	1	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0
COG0380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
COG0382	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0384	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COG0389	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
COG0390	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0391	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0
COG0392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
COG0396	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0
COG0402	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
COG0403	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
COG0404	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0
COG0405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
COG0407	0	0	1	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0
COG0409	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0410	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
COG0411	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
COG0413	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0
COG0414	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0
COG0415	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0416	1	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	1	0	1	0
COG0418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
COG0420	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0421	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
COG0422	1	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COG0423	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0
COG0424	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0
COG0425	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0426	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0428	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
COG0429	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0430	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0440	1	0	1	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COG0441	1	0	1	1	0	1	1	0	0	1	1	0	0	1	1	0	1	1	1	1	1	1	0	1	0
COG0442	0	0	1	1	1	1	0	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	0	1	1
COG0443	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0
COG0445	1	0	1	0	1	1	0	0	1	1	0	0	0	0	1	0	1	1	1	1	1	1	0	0	0
COG0447	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0448	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0449	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0
COG0450	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
COG0452	1	0	1	0	0	1	1	1	1	1	1	0	0	1	0	0	0	1	1	0	0	1	0	1	0
COG0458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COG0459	1	0	1	0	0	1	0	0	0	1	1	0	0	1	0	0	1	1	1	0	0	0	0	1	0
COG0460	0	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0
COG0461	0	0	1	0	0	1	0	1	0	1	0	1	1	0	1	0	0	1	0	1	0	1	0	1	1
COG0462	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0
COG0464	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0465	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
COG0466	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
COG0468	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	1	0	1	1	0	1	1	0	1	0
COG0469	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0
COG0470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1
COG0472	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
COG0473	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0476	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0
COG0478	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0479	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
COG0480	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
COG0481	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1
COG0482	1	0	0	0	1	1	1	0	1	0	1	0	0	0	1	0	0	1	1	1	1	1	0	0	0
COG0483	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0486	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	0
COG0488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
COG0489	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0492	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COG0495	1	1	0	0	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1
COG0496	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0
COG0497	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	1	1	1	0
COG0498	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0499	1	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
COG0502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
COG0503	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0
COG0504	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1	1	0	0	1	0	1	0
COG0505	1	1	1	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	1	0	1	1	1	0
COG0506	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0509	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0
COG0511	0	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COG0512	0	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
COG0513	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
COG0516	1	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
COG0519	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	0	0	1	0	0	0	1	0	1	1
COG0520	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0521	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
COG0522	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	0	1	1
COG0524	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0525	1	0	0	0	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	1	0	1	1	0	0
COG0527	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	1	0	1	0
COG0528	0	1	1	1	1	1	0	1	0	1	1	0	0	1	0	0	1	1	1	1	0	1	0	1	1
COG0532	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1
COG0533	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1
COG0536	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
COG0537	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
COG0539	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	1	1
COG0540	0	1	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	1	0	1	0	0	1	1	0
COG0541	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
COG0543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COG0544	1	1	1	0	1	1	1	0	0	1	1	0	0	1	1	1	0	1	1	1	1	1	0	1	1
COG0545	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0547	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
COG0548	1	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
COG0549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
COG0550	0	0	1	0	0	1	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0
COG0552	1	1	1	1	0	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
COG0554	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COG0556	1	1	1	1	1	0	1	0	1	1	1	0	0	1	1	0	1	1	0	1	0	1	0	1	0
COG0557	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0
COG0558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
COG0559	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
COG0560	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0561	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0563	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
COG0564	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0565	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
COG0566	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
COG0567	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
COG0568	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
COG0571	0	1	1	1	1	1	1	0	0	1	0	0	1	1	1	1	0	1	1	0	1	1	1	1	1
COG0572	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
COG0573	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
COG0574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
COG0575	1	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0
COG0576	0	0	0	1	1	0	1	0	0	1	1	0	0	1	0	0	1	1	1	1	1	1	0	1	1
COG0581	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
COG0584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
COG0585	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
COG0587	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	0
COG0588	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0590	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0592	0	0	1	0	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1
COG0593	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0
COG0594	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0
COG0595	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0
COG0597	1	0	1	0	1	1	0	0	1	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0
COG0601	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0602	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
COG0603	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
COG0605	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0606	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0
COG0608	1	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	1	0	1	0	1	1	1	0	0
COG0611	1	0	1	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0
COG0613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
COG0614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COG0615	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0616	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
COG0617	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0
COG0618	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0
COG0620	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0621	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0623	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
COG0629	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0
COG0632	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	0
COG0634	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	1	0	0	1	0	0
COG0635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
COG0636	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COG0647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
COG0648	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
